地區,區域,屋苑,屋苑英文,落成年份,成交宗數,中位呎價,中位售價,最細面積,最大面積,細節連結
中西區,港島,恆陞大樓,Hang Sing Mansion,1972,1,10222,4600000,450,450,https://hk.centanet.com/findproperty/transaction-detail/恆陞大樓_26063001170010
中西區,港島,山市樓,Sands House,1973,1,12382,3950000,319,319,https://hk.centanet.com/findproperty/transaction-detail/山市樓_26063001470282
中西區,港島,冠華大廈,Koon Wah Building,1976,1,11829,3880000,328,328,https://hk.centanet.com/findproperty/transaction-detail/冠華大廈_26063001830013
中西區,港島,怡富閣,Rich Court,1985,1,16399,5100000,311,311,https://hk.centanet.com/findproperty/transaction-detail/怡富閣_26063001870031
中西區,港島,惠德大廈,Wai Tak Building,1968,1,9646,3000000,311,311,https://hk.centanet.com/findproperty/transaction-detail/惠德大廈_26063002190021
中西區,港島,瓊峰臺,Kingsford Height,1990,1,17108,18100000,1058,1058,https://hk.centanet.com/findproperty/transaction-detail/瓊峰臺_26063002320050
中西區,港島,峰景,Hong Villa,1988,1,39259,125000000,3184,3184,https://hk.centanet.com/findproperty/transaction-detail/峰景_26063002320063
中西區,港島,寶雲山莊,Fairlane Tower,1998,1,24332,21388000,879,879,https://hk.centanet.com/findproperty/transaction-detail/寶雲山莊_26063002470076
中西區,港島,華輝閣,Wah Fai Court,1985,1,14589,5850000,401,401,https://hk.centanet.com/findproperty/transaction-detail/華輝閣_26063002470421
中西區,港島,利豐大廈,Lee Fung Building,1978,1,12258,3800000,310,310,https://hk.centanet.com/findproperty/transaction-detail/利豐大廈_26062900240165
中西區,港島,永福閣,Wing Fook Court,1981,1,21855,17200000,787,787,https://hk.centanet.com/findproperty/transaction-detail/永福閣_26062900370028
