Time,Class,Value
202303,Less than 40 m2,3.09
202306,100 m2 to 159.9 m2,2.22
202306,160 m2 or above,2.38
202306,40 m2 to 69.9 m2,2.62
202306,70 m2 to 99.9 m2,2.51
202306,Less than 40 m2,3.14
202309,100 m2 to 159.9 m2,2.44
202309,160 m2 or above,2.3
202309,40 m2 to 69.9 m2,2.88
202309,70 m2 to 99.9 m2,2.47
202309,Less than 40 m2,3.51
202312,100 m2 to 159.9 m2,2.55
202312,160 m2 or above,2.24
202312,40 m2 to 69.9 m2,3.02
202312,70 m2 to 99.9 m2,2.73
202312,Less than 40 m2,3.76
202403,100 m2 to 159.9 m2,2.47
202403,160 m2 or above,2.67
202403,40 m2 to 69.9 m2,3.11
202403,70 m2 to 99.9 m2,2.8
202403,Less than 40 m2,3.81
202406,100 m2 to 159.9 m2,2.55
202406,160 m2 or above,2.39
202406,40 m2 to 69.9 m2,3.17
202406,70 m2 to 99.9 m2,2.74
202406,Less than 40 m2,3.94
202409,100 m2 to 159.9 m2,2.66
202409,160 m2 or above,2.28
202409,40 m2 to 69.9 m2,3.43
202409,70 m2 to 99.9 m2,2.95
202409,Less than 40 m2,4.32
202412,100 m2 to 159.9 m2,2.6
202412,160 m2 or above,2.32
202412,40 m2 to 69.9 m2,3.37
202412,70 m2 to 99.9 m2,2.97
202412,Less than 40 m2,4.22
202503,100 m2 to 159.9 m2,2.74
202503,160 m2 or above,2.62
202503,40 m2 to 69.9 m2,3.5
202503,70 m2 to 99.9 m2,3.03
202503,Less than 40 m2,4.27
202506,100 m2 to 159.9 m2,2.67
202506,160 m2 or above,2.33
202506,40 m2 to 69.9 m2,3.52
202506,70 m2 to 99.9 m2,3.11
202506,Less than 40 m2,4.28
202509,100 m2 to 159.9 m2,2.72
202509,160 m2 or above,2.77
202509,40 m2 to 69.9 m2,3.53
202509,70 m2 to 99.9 m2,3.08
202509,Less than 40 m2,4.39
202512,100 m2 to 159.9 m2,2.68
202512,160 m2 or above,2.62
202512,40 m2 to 69.9 m2,3.47
202512,70 m2 to 99.9 m2,2.97
202512,Less than 40 m2,4.22
202603,100 m2 to 159.9 m2,2.72
202603,160 m2 or above,2.7
202603,40 m2 to 69.9 m2,3.37
202603,70 m2 to 99.9 m2,3.0
202603,Less than 40 m2,4.04
199903,All Classes,4.67
199906,All Classes,4.52
199909,All Classes,4.68
199912,All Classes,4.84
200003,All Classes,4.78
200006,All Classes,5.02
200009,All Classes,5.3
200012,All Classes,5.57
200103,All Classes,6.09
200106,All Classes,5.73
200109,All Classes,5.95
200112,All Classes,5.95
200203,All Classes,5.94
200206,All Classes,5.63
200209,All Classes,5.94
200212,All Classes,5.94
200303,All Classes,5.9
200306,All Classes,6.03
200309,All Classes,5.76
200312,All Classes,5.17
200403,All Classes,4.53
200406,All Classes,4.55
200409,All Classes,4.51
200412,All Classes,4.08
200503,All Classes,4.04
200506,All Classes,3.72
200509,All Classes,4.08
200512,All Classes,4.44
200603,All Classes,4.21
200606,All Classes,4.12
200609,All Classes,4.43
200612,All Classes,4.4
200703,All Classes,4.25
200706,All Classes,4.19
200709,All Classes,4.26
200712,All Classes,3.82
200803,All Classes,3.91
200806,All Classes,4.08
200809,All Classes,4.69
200812,All Classes,4.45
200903,All Classes,3.92
200906,All Classes,3.39
200909,All Classes,3.52
200912,All Classes,3.53
201003,All Classes,3.39
201006,All Classes,3.59
201009,All Classes,3.49
201012,All Classes,3.39
201103,All Classes,3.22
201106,All Classes,3.1
201109,All Classes,3.46
201112,All Classes,3.44
201203,All Classes,3.2
201206,All Classes,3.1
201209,All Classes,2.89
201212,All Classes,2.91
201303,All Classes,2.81
201306,All Classes,2.89
201309,All Classes,3.08
201312,All Classes,3.13
201403,All Classes,3.05
201406,All Classes,3.05
201409,All Classes,3.15
201412,All Classes,3.0
201503,All Classes,2.93
201506,All Classes,2.89
201509,All Classes,2.99
201512,All Classes,3.03
201603,All Classes,3.04
201606,All Classes,2.91
201609,All Classes,2.92
201612,All Classes,2.81
201703,All Classes,2.76
201706,All Classes,2.72
201709,All Classes,2.81
201712,All Classes,2.71
201803,All Classes,2.64
201806,All Classes,2.57
201809,All Classes,2.62
201812,All Classes,2.65
201903,All Classes,2.59
201906,All Classes,2.51
201909,All Classes,2.57
201912,All Classes,2.54
202003,All Classes,2.39
202006,All Classes,2.31
202009,All Classes,2.32
202012,All Classes,2.38
202103,All Classes,2.32
202106,All Classes,2.3
202109,All Classes,2.27
202112,All Classes,2.37
202203,All Classes,2.38
202206,All Classes,2.35
202209,All Classes,2.53
202212,All Classes,2.61
202303,All Classes,2.5
202306,All Classes,2.57
202309,All Classes,2.72
202312,All Classes,2.86
202403,All Classes,2.97
202406,All Classes,2.96
202409,All Classes,3.13
202412,All Classes,3.09
202503,All Classes,3.23
202506,All Classes,3.18
202509,All Classes,3.3
202512,All Classes,3.19
202603,All Classes,3.17
